Course Name,Course Description
Introduction to Python Programming,"Basics of Python programming, syntax, and applications"
Engineering Mathematics,Mathematical techniques for engineering applications
Basics of Electrical and Electronics Engineering,Fundamentals of electrical and electronic systems
Introduction to Data Science,"Foundations of data analysis, statistics, and visualization"
Engineering Mechanics,Basic principles of forces and motion in engineering systems
Soft Skills for Engineers,"Communication, teamwork, and problem-solving for engineers"
Environmental Science and Sustainability,Environmental challenges and sustainable solutions
Introduction to Computer-Aided Design (CAD),Basics of CAD tools for engineering design
Data Structures and Algorithms,"Programming, Logic, and Problem Solving"
Object-Oriented Programming with Java,Core Java concepts and OOP fundamentals
Database Management Systems,Principles of database design and SQL
Introduction to Cloud Computing,Basics of cloud infrastructure and services
"Web Development with HTML, CSS, and JavaScript",Building websites with modern web technologies
Foundations of Cybersecurity,Basics of securing systems and data
Introduction to Machine Learning,"AI, Data Science, Algorithms"
Version Control with Git and GitHub,Collaborative coding and version control
Digital Circuits and Systems,Design and analysis of digital circuits
Microprocessors and Microcontrollers,Fundamentals of embedded systems
Signals and Systems,Introduction to signal processing and systems theory
Embedded Systems Basics,Building and programming embedded systems
MATLAB Programming for Engineers,Modeling and simulation using MATLAB
Introduction to IoT,"Internet of Things, devices, and applications"
Analog Electronics Fundamentals,Basic principles of analog circuits
Basics of Communication Systems,Introduction to communication technologies
Thermodynamics Basics,"Principles of energy, heat, and work"
Fluid Mechanics,Behavior of fluids and their engineering applications
3D Modeling with SolidWorks,3D CAD modeling and design
Strength of Materials,Analysis of stress and deformation in materials
Kinematics of Machines,Mechanics and motion of machines
Basics of Robotics,Introduction to robotics and automation
Introduction to Additive Manufacturing (3D Printing),Techniques and applications of 3D printing
Finite Element Analysis (FEA),Numerical methods for structural analysis
Surveying and Geomatics,Measurement and mapping techniques for civil engineering
Basics of Structural Analysis,Analysis of structural elements and systems
Introduction to BIM (Building Information Modeling),Digital representation of building processes
Concrete Technology,Properties and uses of concrete in construction
Water Resource Management,Planning and management of water resources
Transportation Engineering Basics,Design and management of transportation systems
GIS and Remote Sensing,Geospatial technologies for mapping and analysis
Construction Planning and Management,Techniques for managing construction projects
Circuit Theory Basics,Fundamentals of electrical circuits
Control Systems Fundamentals,Basics of feedback and control systems
Basics of Power Systems,Design and analysis of power systems
Electrical Machines and Drives,Introduction to electrical machines and their control
Introduction to Renewable Energy Systems,Basics of renewable energy technologies
