user_id,gender,age,stream,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6
1,Male,19,Chemical Engineering,Unknown,"Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Chemical Process Simulation Using Aspen Plus, Polymer Technology","Chemical Process Simulation Using Aspen Plus, Polymer Technology","Chemical Plant Safety Management, Environmental Impact of Chemical Processes","Chemical Plant Safety Management, Environmental Impact of Chemical Processes"
2,Male,21,Computer Science and Engineering (CSE),"Introduction to Computer-Aided Design (CAD), Engineering Mathematics",Unknown,"Foundations of Cybersecurity, Foundations of Cybersecurity","Foundations of Cybersecurity, Foundations of Cybersecurity","Mobile App Development with Flutter, DevOps Practices","Mobile App Development with Flutter, DevOps Practices"
3,Female,23,Mechanical Engineering,"Engineering Mathematics, Environmental Science and Sustainability","Engineering Mathematics, Environmental Science and Sustainability","Strength of Materials, Strength of Materials","Strength of Materials, Strength of Materials","Optimization in Mechanical Design, Automobile Dynamics","Optimization in Mechanical Design, Automobile Dynamics"
4,Male,24,Unknown,"Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Introduction to Chemical Reaction Engineering, Energy Management in Process Industries","Introduction to Chemical Reaction Engineering, Energy Management in Process Industries","Nanotechnology in Chemical Engineering, Advanced Thermodynamics","Nanotechnology in Chemical Engineering, Advanced Thermodynamics"
5,Male,20,Electrical Engineering,"Introduction to Data Science, Introduction to Python Programming","Introduction to Data Science, Introduction to Python Programming","Electrical Machines and Drives, Circuit Theory Basics","Electrical Machines and Drives, Circuit Theory Basics","Power Electronics Design, Advanced Power Systems","Power Electronics Design, Advanced Power Systems"
6,Male,25,Civil Engineering,"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Basics of Structural Analysis, Transportation Engineering Basics","Basics of Structural Analysis, Transportation Engineering Basics","Sustainable Construction, Hydrology and Water Resource Engineering","Sustainable Construction, Hydrology and Water Resource Engineering"
7,Male,20,Aerospace Engineering,"Engineering Mathematics, Engineering Mathematics","Engineering Mathematics, Engineering Mathematics","Basics of Aerodynamics, Satellite Communication Systems","Basics of Aerodynamics, Satellite Communication Systems","UAV Technology, Orbital Mechanics","UAV Technology, Orbital Mechanics"
8,Male,22,Biotechnology/Biomedical Engineering,Unknown,Unknown,"Healthcare Data Analytics, Healthcare Data Analytics","Healthcare Data Analytics, Healthcare Data Analytics","Medical Devices and Diagnostics, Drug Delivery Systems","Medical Devices and Diagnostics, Drug Delivery Systems"
9,Female,22,Civil Engineering,"Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Basics of Structural Analysis, Construction Planning and Management","Basics of Structural Analysis, Construction Planning and Management","Advanced Highway Engineering, Smart Cities and Urban Planning","Advanced Highway Engineering, Smart Cities and Urban Planning"
10,Female,20,Civil Engineering,"Engineering Mechanics, Soft Skills for Engineers","Engineering Mechanics, Soft Skills for Engineers","GIS and Remote Sensing, Surveying and Geomatics","GIS and Remote Sensing, Surveying and Geomatics","Advanced Highway Engineering, Advanced BIM Techniques","Advanced Highway Engineering, Advanced BIM Techniques"
11,Female,25,Mechanical Engineering,"Introduction to Data Science, Soft Skills for Engineers","Introduction to Data Science, Soft Skills for Engineers","Basics of Robotics, Introduction to Additive Manufacturing (3D Printing)","Basics of Robotics, Introduction to Additive Manufacturing (3D Printing)","Optimization in Mechanical Design, Optimization in Mechanical Design","Optimization in Mechanical Design, Optimization in Mechanical Design"
12,Male,22,Electrical Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mechanics","Basics of Electrical and Electronics Engineering, Engineering Mechanics","Electromagnetic Fields and Waves, Electrical Machines and Drives","Electromagnetic Fields and Waves, Electrical Machines and Drives","Renewable Energy Integration, Power Electronics Design","Renewable Energy Integration, Power Electronics Design"
13,Female,19,Mechanical Engineering,"Environmental Science and Sustainability, Environmental Science and Sustainability","Environmental Science and Sustainability, Environmental Science and Sustainability","Thermodynamics Basics, Basics of Robotics","Thermodynamics Basics, Basics of Robotics","HVAC Systems Design, HVAC Systems Design","HVAC Systems Design, HVAC Systems Design"
14,Male,20,Biotechnology/Biomedical Engineering,"Introduction to Python Programming, Introduction to Data Science","Introduction to Python Programming, Introduction to Data Science","Introduction to Tissue Engineering, Medical Imaging and Applications","Introduction to Tissue Engineering, Medical Imaging and Applications","Biomedical Signal Processing, Medical Devices and Diagnostics","Biomedical Signal Processing, Medical Devices and Diagnostics"
15,Male,19,Chemical Engineering,"Environmental Science and Sustainability, Soft Skills for Engineers","Environmental Science and Sustainability, Soft Skills for Engineers","Petroleum Refining Basics, Introduction to Chemical Reaction Engineering","Petroleum Refining Basics, Introduction to Chemical Reaction Engineering","Catalysis in Chemical Engineering, Process Optimization and Simulation","Catalysis in Chemical Engineering, Process Optimization and Simulation"
16,Female,21,Biotechnology/Biomedical Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mechanics","Basics of Electrical and Electronics Engineering, Engineering Mechanics","Medical Imaging and Applications, Basics of Bioprocess Engineering","Medical Imaging and Applications, Basics of Bioprocess Engineering","Drug Delivery Systems, Biostatistics for Biomedical Research","Drug Delivery Systems, Biostatistics for Biomedical Research"
17,Female,19,Computer Science and Engineering (CSE),Unknown,"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Database Management Systems, Object-Oriented Programming with Java","Database Management Systems, Object-Oriented Programming with Java","DevOps Practices, Cybersecurity and Ethical Hacking","DevOps Practices, Cybersecurity and Ethical Hacking"
18,Male,19,Biotechnology/Biomedical Engineering,"Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Introduction to Genetic Engineering, Introduction to Molecular Biology","Introduction to Genetic Engineering, Introduction to Molecular Biology","Biomaterials and Nanotechnology, Advanced Tissue Engineering","Biomaterials and Nanotechnology, Advanced Tissue Engineering"
19,Unknown,20,Electrical Engineering,"Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Introduction to Renewable Energy Systems, Introduction to Renewable Energy Systems","Introduction to Renewable Energy Systems, Introduction to Renewable Energy Systems","Smart Grid Technology, Smart Grid Technology","Smart Grid Technology, Smart Grid Technology"
20,Male,23,Electrical Engineering,"Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Basics of Power Systems, Electrical Machines and Drives","Basics of Power Systems, Electrical Machines and Drives","Advanced Power Systems, High Voltage Engineering","Advanced Power Systems, High Voltage Engineering"
21,Male,23,Civil Engineering,"Engineering Mathematics, Introduction to Data Science","Engineering Mathematics, Introduction to Data Science","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Smart Cities and Urban Planning, Sustainable Construction","Smart Cities and Urban Planning, Sustainable Construction"
22,Male,23,Aerospace Engineering,Unknown,"Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Satellite Communication Systems, Space Mission Design","Satellite Communication Systems, Space Mission Design","Rocket Propulsion Systems, Satellite System Engineering","Rocket Propulsion Systems, Satellite System Engineering"
23,Female,25,Aerospace Engineering,"Introduction to Python Programming, Introduction to Python Programming","Introduction to Python Programming, Introduction to Python Programming","Introduction to Avionics, Basics of Computational Fluid Dynamics (CFD)","Introduction to Avionics, Basics of Computational Fluid Dynamics (CFD)","Spacecraft Avionics, Spacecraft Dynamics and Control","Spacecraft Avionics, Spacecraft Dynamics and Control"
24,Female,21,Aerospace Engineering,"Engineering Mathematics, Engineering Mechanics","Engineering Mathematics, Engineering Mechanics","Propulsion Systems, Basics of Aerodynamics","Propulsion Systems, Basics of Aerodynamics","UAV Technology, Satellite System Engineering","UAV Technology, Satellite System Engineering"
25,Male,21,Electrical Engineering,"Introduction to Data Science, Introduction to Python Programming","Introduction to Data Science, Introduction to Python Programming","Basics of Power Systems, IoT for Electrical Engineers","Basics of Power Systems, IoT for Electrical Engineers","IoT Applications in Electrical Engineering, Advanced Control Systems","IoT Applications in Electrical Engineering, Advanced Control Systems"
26,Male,25,Aerospace Engineering,"Engineering Mathematics, Engineering Mechanics","Engineering Mathematics, Engineering Mechanics","Introduction to Aerospace Structures, Satellite Communication Systems","Introduction to Aerospace Structures, Satellite Communication Systems","Satellite System Engineering, Spacecraft Dynamics and Control","Satellite System Engineering, Spacecraft Dynamics and Control"
27,Male,24,Mechanical Engineering,"Soft Skills for Engineers, Engineering Mechanics","Soft Skills for Engineers, Engineering Mechanics","Fluid Mechanics, Thermodynamics Basics","Fluid Mechanics, Thermodynamics Basics","HVAC Systems Design, Wind and Solar Energy Engineering","HVAC Systems Design, Wind and Solar Energy Engineering"
28,Male,22,Chemical Engineering,"Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Chemical Process Simulation Using Aspen Plus, Introduction to Chemical Reaction Engineering","Chemical Process Simulation Using Aspen Plus, Introduction to Chemical Reaction Engineering","Biochemical Engineering, Advanced Thermodynamics","Biochemical Engineering, Advanced Thermodynamics"
29,Female,19,Electrical Engineering,"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Digital Signal Processing, Control Systems Fundamentals","Digital Signal Processing, Control Systems Fundamentals","Electric Vehicle Systems, Smart Grid Technology","Electric Vehicle Systems, Smart Grid Technology"
30,Female,22,Civil Engineering,"Basics of Electrical and Electronics Engineering, Introduction to Python Programming","Basics of Electrical and Electronics Engineering, Introduction to Python Programming","Concrete Technology, Construction Planning and Management","Concrete Technology, Construction Planning and Management","Hydrology and Water Resource Engineering, Smart Transportation Systems","Hydrology and Water Resource Engineering, Smart Transportation Systems"
31,Male,22,Civil Engineering,"Soft Skills for Engineers, Introduction to Data Science",Unknown,"Concrete Technology, Transportation Engineering Basics","Concrete Technology, Transportation Engineering Basics","Advanced BIM Techniques, Advanced Structural Engineering","Advanced BIM Techniques, Advanced Structural Engineering"
32,Unknown,23,Chemical Engineering,Unknown,"Engineering Mechanics, Engineering Mathematics","Introduction to Chemical Reaction Engineering, Chemical Process Simulation Using Aspen Plus","Introduction to Chemical Reaction Engineering, Chemical Process Simulation Using Aspen Plus","Petrochemical Process Engineering, Environmental Impact of Chemical Processes","Petrochemical Process Engineering, Environmental Impact of Chemical Processes"
